Structure,Date,Time,FishID
CIN,11/1/2020,1:37:57,900_228000281401
CIN,11/1/2020,1:38:00,900_228000281401
CIN,11/1/2020,1:38:02,900_228000281401
CIN,11/1/2020,1:38:04,900_228000281401
CIN,11/1/2020,1:38:04,900_228000281401
CIN,11/1/2020,1:38:05,900_228000281401
CIN,11/1/2020,1:38:10,900_228000281401
CIN,11/1/2020,1:38:11,900_228000281401
CIN,11/1/2020,1:38:11,900_228000281401
CIN,11/1/2020,1:38:11,900_228000281401
CIN,11/1/2020,1:38:12,900_228000281401
CIN,11/1/2020,1:38:13,900_228000281401
CIN,11/1/2020,1:38:13,900_228000281401
CIN,11/1/2020,1:38:14,900_228000281401
CIN,11/1/2020,1:38:15,900_228000281401
CIN,11/1/2020,1:38:15,900_228000281401
CIN,11/1/2020,1:38:17,900_228000281401
CIN,11/1/2020,1:38:18,900_228000281401
CIN,11/1/2020,1:38:18,900_228000281401
CIN,11/1/2020,1:38:19,900_228000281401
CIN,11/1/2020,1:38:24,900_228000281401
CIN,11/1/2020,1:38:24,900_228000281401
CIN,11/1/2020,1:38:24,900_228000281401
CIN,11/1/2020,1:38:24,900_228000281401
CIN,11/1/2020,1:38:25,900_228000281401
CIN,11/1/2020,1:38:25,900_228000281401
CIN,11/1/2020,1:38:28,900_228000281401
CIN,11/1/2020,1:38:29,900_228000281401
CIN,11/1/2020,1:38:29,900_228000281401
CIN,11/1/2020,1:38:31,900_228000281401
CIN,11/1/2020,1:38:31,900_228000281401
CIN,11/1/2020,1:38:32,900_228000281401
CIN,11/1/2020,1:38:32,900_228000281401
CIN,11/1/2020,1:38:32,900_228000281401
CIN,11/1/2020,1:38:32,900_228000281401
CIN,11/1/2020,1:38:38,900_228000281401
CIN,11/1/2020,1:38:38,900_228000281401
CIN,11/1/2020,1:38:39,900_228000281401
CIN,11/1/2020,1:38:40,900_228000281401
CIN,11/1/2020,1:38:41,900_228000281401
CIN,11/1/2020,1:38:42,900_228000281401
CIN,11/1/2020,1:38:42,900_228000281401
CIN,11/1/2020,1:38:43,900_228000281401
CIN,11/1/2020,1:38:43,900_228000281401
CIN,11/1/2020,1:38:44,900_228000281401
CIN,11/1/2020,1:38:44,900_228000281401
CIN,11/1/2020,1:38:44,900_228000281401
CIN,11/1/2020,1:38:46,900_228000281401
CIN,11/1/2020,1:38:46,900_228000281401
CIN,11/1/2020,1:38:47,900_228000281401
CIN,11/1/2020,1:38:50,900_228000281401
CIN,11/1/2020,1:38:51,900_228000281401
CIN,11/1/2020,1:38:51,900_228000281401
CIN,11/1/2020,1:38:53,900_228000281401
CIN,11/1/2020,1:38:53,900_228000281401
CIN,11/1/2020,1:38:56,900_228000281401
CIN,11/1/2020,1:38:57,900_228000281401
CIN,11/1/2020,1:38:58,900_228000281401
CIN,11/1/2020,1:38:58,900_228000281401
CIN,11/1/2020,1:38:58,900_228000281401
CIN,11/1/2020,1:38:59,900_228000281401
CIN,11/1/2020,1:39:04,900_228000281401
CIN,11/1/2020,1:39:04,900_228000281401
CIN,11/1/2020,1:39:05,900_228000281401
CIN,11/1/2020,1:39:06,900_228000281401
CIN,11/1/2020,1:39:08,900_228000281401
CIN,11/1/2020,1:39:08,900_228000281401
CIN,11/1/2020,1:39:08,900_228000281401
CIN,11/1/2020,1:39:11,900_228000281401
CIN,11/1/2020,1:39:11,900_228000281401
CIN,11/1/2020,1:39:12,900_228000281401
CIN,11/1/2020,1:39:13,900_228000281401
CIN,11/1/2020,1:39:13,900_228000281401
CIN,11/1/2020,1:39:18,900_228000281401
CIN,11/1/2020,1:39:19,900_228000281401
CIN,11/1/2020,1:39:19,900_228000281401
CIN,11/1/2020,1:39:21,900_228000281401
CIN,11/1/2020,1:39:22,900_228000281401
CIN,11/1/2020,1:39:22,900_228000281401
CIN,11/1/2020,1:39:22,900_228000281401
CIN,11/1/2020,1:39:23,900_228000281401
CIN,11/1/2020,1:39:25,900_228000281401
CIN,11/1/2020,1:39:26,900_228000281401
CIN,11/1/2020,1:39:27,900_228000281401
CIN,11/1/2020,1:39:27,900_228000281401
CIN,11/1/2020,1:39:27,900_228000281401
CIN,11/1/2020,1:39:33,900_228000281401
CIN,11/1/2020,1:39:34,900_228000281401
CIN,11/1/2020,1:39:34,900_228000281401
CIN,11/1/2020,1:39:34,900_228000281401
CIN,11/1/2020,1:39:36,900_228000281401
CIN,11/1/2020,1:39:36,900_228000281401
CIN,11/1/2020,1:39:36,900_228000281401
CIN,11/1/2020,1:39:39,900_228000281401
CIN,11/1/2020,1:39:40,900_228000281401
CIN,11/1/2020,1:39:41,900_228000281401
CIN,11/1/2020,1:39:41,900_228000281401
CIN,11/1/2020,1:39:42,900_228000281401
CIN,11/1/2020,1:39:47,900_228000281401
CIN,11/1/2020,1:39:48,900_228000281401
CIN,11/1/2020,1:39:49,900_228000281401
CIN,11/1/2020,1:39:50,900_228000281401
CIN,11/1/2020,1:39:50,900_228000281401
CIN,8/29/2020,0:16:42,900_228000281403
CIN,9/29/2020,1:08:25,900_228000281403
CIN,9/29/2020,1:08:25,900_228000281403
CIN,9/29/2020,1:08:25,900_228000281403
CIN,9/29/2020,1:08:28,900_228000281403
CIN,9/29/2020,1:08:29,900_228000281403
CIN,9/29/2020,1:08:42,900_228000281403
CIN,9/29/2020,1:08:50,900_228000281403
CIN,9/29/2020,1:08:50,900_228000281403
CIN,9/29/2020,1:08:51,900_228000281403
CIN,9/29/2020,1:08:51,900_228000281403
CIN,9/29/2020,1:09:09,900_228000281403
CIN,9/29/2020,1:09:10,900_228000281403
CIN,9/29/2020,1:09:15,900_228000281403
CIN,9/29/2020,1:09:16,900_228000281403
CIN,9/29/2020,1:09:18,900_228000281403
CIN,9/29/2020,1:09:18,900_228000281403
CIN,9/29/2020,1:10:03,900_228000281403
CIN,9/29/2020,1:10:08,900_228000281403
CIN,9/29/2020,1:10:10,900_228000281403
CIN,9/29/2020,1:10:11,900_228000281403
CIN,9/29/2020,1:10:11,900_228000281403
CIN,9/29/2020,1:10:11,900_228000281403
CIN,9/29/2020,1:10:37,900_228000281403
CIN,9/29/2020,1:10:38,900_228000281403
CIN,9/29/2020,1:10:38,900_228000281403
CIN,9/29/2020,1:10:43,900_228000281403
CIN,9/29/2020,1:10:43,900_228000281403
CIN,9/29/2020,1:10:45,900_228000281403
CIN,9/29/2020,1:10:45,900_228000281403
CIN,9/29/2020,1:10:45,900_228000281403
CIN,9/29/2020,1:10:46,900_228000281403
CIN,9/29/2020,1:10:46,900_228000281403
CIN,9/29/2020,1:10:46,900_228000281403
CIN,9/29/2020,1:11:00,900_228000281403
CIN,9/29/2020,2:21:44,900_228000281403
CIN,9/29/2020,2:21:44,900_228000281403
CIN,9/29/2020,20:34:39,900_228000281403
CIN,9/29/2020,20:34:41,900_228000281403
CIN,9/29/2020,20:34:42,900_228000281403
CIN,9/30/2020,2:27:03,900_228000281403
CIN,9/30/2020,2:27:03,900_228000281403
CIN,9/30/2020,7:55:03,900_228000281403
CIN,9/30/2020,7:55:03,900_228000281403
CIN,9/30/2020,7:55:03,900_228000281403
CIN,10/1/2020,2:18:20,900_228000281403
CIN,10/4/2020,4:08:24,900_228000281403
CIN,10/4/2020,4:08:25,900_228000281403
CIN,10/4/2020,4:08:25,900_228000281403
CIN,10/4/2020,4:08:25,900_228000281403
CIN,10/5/2020,6:00:45,900_228000281403
CIN,10/5/2020,6:00:45,900_228000281403
CIN,10/5/2020,6:00:46,900_228000281403
